id,created_at,temperature,humidity,mq135_raw,aqi_value,aqi_category,device_id,latitude,longitude,co2_ppm,nh3_ppm,benzene_ppm,alcohol_ppm
1102,2026-05-17 02:39:59.308529+00,31.60,60.00,0,0,Good,AW-001,8.3851630,124.8400218,0.00,0.00,0.00,0.00
1103,2026-05-17 02:40:28.72405+00,32.90,60.00,0,0,Good,AW-001,8.3851390,124.8400232,0.00,0.00,0.00,0.00
1104,2026-05-17 02:41:03.785777+00,32.40,61.00,0,0,Good,AW-001,8.3851200,124.8400228,0.00,0.00,0.00,0.00
1105,2026-05-17 02:41:35.837753+00,32.50,61.00,0,0,Good,AW-001,8.3851663,124.8400233,0.00,0.00,0.00,0.00
1106,2026-05-17 02:41:59.063348+00,32.00,60.00,0,0,Good,AW-001,8.3849737,124.8399258,0.00,0.00,0.00,0.00
1107,2026-05-17 02:42:28.849634+00,32.90,59.00,0,0,Good,AW-001,8.3846635,124.8398682,0.00,0.00,0.00,0.00
1108,2026-05-17 02:42:59.3045+00,32.80,57.00,0,0,Good,AW-001,8.3850762,124.8400498,0.00,0.00,0.00,0.00
1109,2026-05-17 02:43:29.089286+00,32.90,58.00,0,0,Good,AW-001,8.3850660,124.8400205,0.00,0.00,0.00,0.00
1110,2026-05-17 02:44:00.618475+00,32.80,58.00,0,0,Good,AW-001,8.3851055,124.8400592,0.00,0.00,0.00,0.00
1111,2026-05-17 02:47:25.598322+00,32.80,60.00,0,0,Good,AW-001,8.3837318,124.8395485,0.00,0.00,0.00,0.00
1112,2026-05-17 02:47:55.725601+00,32.10,60.00,0,0,Good,AW-001,8.3844647,124.8397363,0.00,0.00,0.00,0.00
1113,2026-05-17 02:48:28.88613+00,32.10,60.00,0,0,Good,AW-001,8.3847505,124.8399392,0.00,0.00,0.00,0.00
1114,2026-05-17 02:48:59.231035+00,32.30,59.00,0,0,Good,AW-001,8.3845880,124.8398560,0.00,0.00,0.00,0.00
1115,2026-05-17 02:49:27.736943+00,32.60,58.00,0,0,Good,AW-001,8.3847808,124.8399513,0.00,0.00,0.00,0.00
1116,2026-05-17 02:49:55.479206+00,32.00,59.00,0,0,Good,AW-001,8.3850785,124.8399925,0.00,0.00,0.00,0.00
1117,2026-05-17 02:50:25.449687+00,32.20,60.00,0,0,Good,AW-001,8.3850120,124.8399855,0.00,0.00,0.00,0.00
1118,2026-05-17 02:50:55.580103+00,32.70,60.00,0,0,Good,AW-001,8.3849640,124.8400978,0.00,0.00,0.00,0.00
1119,2026-05-17 02:51:25.518264+00,32.90,59.00,0,0,Good,AW-001,8.3850370,124.8401192,0.00,0.00,0.00,0.00
1120,2026-05-17 02:51:58.336669+00,32.70,59.00,0,0,Good,AW-001,8.3850500,124.8401085,0.00,0.00,0.00,0.00
1121,2026-05-17 02:52:58.85565+00,32.20,61.00,0,0,Good,AW-001,8.3851702,124.8401320,0.00,0.00,0.00,0.00
1122,2026-05-17 02:53:25.635866+00,32.50,61.00,0,0,Good,AW-001,8.3852617,124.8400917,0.00,0.00,0.00,0.00
1123,2026-05-17 02:54:00.985326+00,32.50,61.00,0,0,Good,AW-001,8.3852310,124.8401653,0.00,0.00,0.00,0.00
1124,2026-05-17 02:54:25.370783+00,32.30,61.00,0,0,Good,AW-001,8.3852185,124.8402005,0.00,0.00,0.00,0.00
1125,2026-05-17 02:54:59.783055+00,32.80,62.00,0,0,Good,AW-001,8.3851352,124.8400812,0.00,0.00,0.00,0.00
